,LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
0,-111.5723157,35.2367222,6110.0,N HIGHWAY 89,,,,,86004.0,,ec074bdfa4581255
1,-111.6721066,35.2336899,3111.0,W SHANNON DR,,,,,86001.0,,a7d9e14ded9387d9
2,-111.655159,35.21562,1380.0,N ROCKRIDGE RD,,,,,86001.0,,6483fb4f4c44a89c
3,-111.6280716,35.2138244,2200.0,N GEMINI DR,,,,,86004.0,,6ebc625bcc95e169
4,-111.6023767,35.2130945,3101.0,E LEWIS DR,,,,,86004.0,,0de30a0ef7c77856
5,-111.5766721,35.2310618,5450.0,N HIGHWAY 89,,,,,86004.0,,ea5acbb3544d5299
6,-111.5658119,35.2310085,5400.0,E EMPIRE AVE,,,,,86004.0,,036f5ea6418565fe
7,-111.5845318,35.2201198,4355.0,E INDUSTRIAL DR,,,,,86004.0,,e8302075c0dcc5d8
8,-111.6439423,35.2185675,1937.0,N MARION DR,,,,,86001.0,,e0da4e6dbe646d1f
9,-111.6515137,35.2145755,1531.0,N KUTCH DR,,,,,86001.0,,61013eb94e5b6d33
0,-122.3431497,48.9211034,104.0,W 1ST ST,,Everson,,,98247.0,68067-104,099481794ac3dde8
1,-122.3432163,48.9222036,109.0,W 3RD ST,,Everson,,,98247.0,68068-109,54612c811cb65927
2,-122.356505,48.9072603,402.0,ARROWHEAD LN,,Everson,,,98247.0,68003-402,bbec16441496508e
3,-122.3383379,48.9192754,108.0,BLAIR DR,,Everson,,,98247.0,68008-108,e5ed7dabafdf1186
4,-122.338211,48.918561,112.0,BLAIR DR,,Everson,,,98247.0,68008-112,47da212d3253bb8c
5,-122.3472273,48.9198826,106.0,EVERSON RD,,Everson,,,98247.0,68027-106,7716e5a5ef5be951
6,-122.3477644,48.919581,110.0,EVERSON RD,,Everson,,,98247.0,68027-110,5f9d72e1f3c46d40
7,-122.3524607,48.9166992,310.0,EVERSON RD,,Everson,,,98247.0,68027-310,090ababe109a881a
8,-122.3537056,48.9138305,503.0,EVERSON RD,,Everson,,,98247.0,68027-503,547c9b2b26b808d8
9,-122.3544902,48.9108828,803.0,EVERSON RD,,Everson,,,98247.0,68027-803,3d4318611583e099
0,-119.7421519,39.2129893,2264.0,FERMI RD,,Carson City,,NV,,,ec7f8c1873d42b2c
1,-119.7399675,39.2112793,2509.0,BOHR RD,,Carson City,,NV,,,56b0058dcb9b6b10
2,-119.7500458,39.209767,5560.0,NEWTON RD,,Carson City,,NV,,,7c3f957907d8528e
3,-119.7398188,39.2087516,2540.0,KELVIN RD,,Carson City,,NV,,,3cc9c17d47ee5213
4,-119.7493572,39.2079204,5.0,TESLA CI,,Carson City,,NV,,,dc0f2a9eabdb7548
5,-119.8138139,39.1991273,4150.0,LEVI GULCH,,Carson City,,NV,,,961f05384ecb0a42
6,-119.765155,39.1989675,290.0,ARROWHEAD DR,,Carson City,,NV,,,0560e6784de35193
7,-119.7352935,39.1942692,2600.0,COLLEGE PY H-35,,Carson City,,NV,,,3b10d25e08e3f6a0
8,-119.8519231,39.1893225,0.0,SEC 04 15/19 W2 W2 SE4,,Carson City,,NV,,,fd007881abeba599
9,-119.7685834,39.1913024,24.0,CASTLE WY,,Carson City,,NV,,,5a07a628ea243dd7
0,-117.7994134,44.8177519,42980.0,LINDLEY RD,,COUNTY,,,,,81c34d635d19037c
1,-118.0595473,45.0036407,49850.0,MILLER RD,,COUNTY,,,,,114efe0ff5eb4ef8
2,-118.0517292,45.0030014,49737.0,MILLER RD,,COUNTY,,,,,f81ee3b494b3b291
3,-118.0366766,45.0018375,49117.0,ANTHONY LAKE HWY,,COUNTY,,,,,548914ab2102c1f2
4,-118.031517,45.0015324,48991.0,ANTHONY LAKE HWY,,COUNTY,,,,,c7bc30069d2cb36f
5,-118.0263682,45.0008421,48819.0,ANTHONY LAKE HWY,,COUNTY,,,,,63328412652de5c9
6,-118.0594505,44.9956224,64976.0,N POWDER RIVER LN,,COUNTY,,,,,7e21d72d94e0af6d
7,-118.0642981,44.998908,50126.0,ANTHONY LAKE HWY,,COUNTY,,,,,a2fc575520e389d9
8,-118.0740107,44.9964686,50416.0,ANTHONY LAKE HWY,,COUNTY,,,,,b3aedc6bb361bf41
9,-118.079771,44.9932567,50612.0,ANTHONY LAKE HWY,,COUNTY,,,,,1f8f9bee167a6683
0,-149.362137,61.4558721,26101.0,OLD GLENN HWY,TOWER,,,,99567.0,,95223943e9d286f2
1,-149.2342426,61.4413496,34709.0,EKLUTNA LAKE RD,,,,,99567.0,,a736e3cf617bca0b
2,-149.2119789,61.4305347,35851.0,EKLUTNA LAKE RD,,,,,99567.0,,7835b7a8e22af7a1
3,-149.2124913,61.4299421,35845.0,EKLUTNA LAKE RD,,,,,99567.0,,58d5678c231cfc40
4,-149.2738447,61.4539969,32551.0,EKLUTNA LAKE RD,,,,,99567.0,,0358d1b7a2b39d1f
5,-149.3216877,61.4496081,30001.0,EKLUTNA LAKE RD,,,,,99567.0,,1b739030fd618d27
6,-149.3033901,61.4468394,31085.0,EKLUTNA LAKE RD,,,,,99567.0,,f812998a285c6cc7
7,-149.3723344,61.4485499,25240.0,THUNDERBIRD DR,,,,,99567.0,,96bf0b0f92f4ca69
8,-149.3712065,61.4483364,27339.0,GOLDEN EAGLE CT,,,,,99567.0,,df8d1671abf37b62
9,-149.3724445,61.4479268,25210.0,THUNDERBIRD DR,,,,,99567.0,,632135f1d4985a54
0,-122.2715108,37.8007952,988.0,FRANKLIN ST,508,OAKLAND,,,94607.0,2-59-30,ed2b5c3f97487dbd
1,-122.2715108,37.8007952,988.0,FRANKLIN ST,1301,OAKLAND,,,94607.0,2-59-30,264e4fd141c7296c
2,-122.2715108,37.8007952,988.0,FRANKLIN ST,1302,OAKLAND,,,94607.0,2-59-30,a2a17edf7c47595d
3,-122.2715108,37.8007952,988.0,FRANKLIN ST,507,OAKLAND,,,94607.0,2-59-30,95f1905107f315fe
4,-122.2716226,37.8006134,928.0,FRANKLIN ST,522,OAKLAND,,,94607.0,2-59-30,2f27ac0218bd57e3
5,-122.2715108,37.8007952,988.0,FRANKLIN ST,1107,OAKLAND,,,94607.0,2-59-30,b020dd1eae9c6fe7
6,-122.2715108,37.8007952,988.0,FRANKLIN ST,1108,OAKLAND,,,94607.0,2-59-30,16535d22c3dffafa
7,-122.2715108,37.8007952,988.0,FRANKLIN ST,521,OAKLAND,,,94607.0,2-59-30,633b11f311bc010d
8,-122.2730697,37.7996101,763.0,FRANKLIN ST,214,OAKLAND,,,94607.0,1-229-4,1459faf8cc9cc6bb
9,-122.2730697,37.7996101,409.0,8TH ST,A,OAKLAND,,,94607.0,1-229-4,5a70b5e19c2ae7a6
0,-116.4157843,43.4905062,251.0,W  MAIN ST,,KUNA,,ID,,,b14f769f3aba5870
1,-116.4168901,43.4905284,329.0,W  MAIN ST,,KUNA,,ID,,,922e72c7326d3d78
2,-116.4170311,43.4905295,339.0,W  MAIN ST,,KUNA,,ID,,,8347e0ce48740962
3,-116.4172191,43.4905318,361.0,W  MAIN ST,,KUNA,,ID,,,4b819763a974319a
4,-116.4174543,43.490534,371.0,W  MAIN ST,,KUNA,,ID,,,341bffe5fc145b49
5,-116.4175956,43.4905354,379.0,W  MAIN ST,,KUNA,,ID,,,7f0a1e497a7727e9
6,-116.4177955,43.4905581,397.0,W  MAIN ST,,KUNA,,ID,,,5beca2e084cff3bd
7,-116.4166965,43.4903001,271.0,N AVE B,,KUNA,,ID,,,a74481be0d0ff52d
8,-116.4204627,43.4905802,587.0,W  MAIN ST,,KUNA,,ID,,,7ed833ecc51ca021
9,-116.4185306,43.490846,444.0,W  MAIN ST,,KUNA,,ID,,,be95e205b2d6484f
0,-157.8331271,21.3007692,1625.0,CLARK ST HNL,,HONOLULU,,,,,9b3cf2c890fa7e9d
1,-157.7219415,21.2894181,6152.0,KAWEKIU PL,,,,,,,6fa5d983b1a4dead
2,-157.7221999,21.2888797,6141.0,KAWEKIU PL,,,,,,,9ec61a48b879f0f3
3,-157.7227514,21.290175,354.0,DALENE WAY,,,,,,,30b9cf496ad7d6e8
4,-157.724095,21.3704139,1477.0,HUMUWILI PL,,,,,,,9da8e82c2d0508f6
5,-157.7235098,21.3698944,1486.0,HUMUWILI PL,,,,,,,3c07602f227355a1
6,-157.7233461,21.3706025,1469.0,HUMUULA ST,,,,,,,d0b56f55c1106112
7,-157.7226393,21.3699708,1499.0,HUMUULA ST,,,,,,,0dcae1322c0e5a85
8,-157.7233962,21.369216,1428.0,ONIONI ST,,,,,,,62c880d4437ae984
9,-157.722406,21.3694978,1460.0,ONIONI ST,,,,,,,cf2feebb7a6f6221
0,-108.9161536,40.0676807,6849.0,,,RANGELY,,,0.0,,7225222c76e3151e
1,-108.9168397,40.0682156,,,,RANGELY,,,0.0,,2610a0c6adf8f59d
2,-108.7541044,40.0918789,2252.0,,,RANGELY,,,0.0,,5b9bb573939e24fe
3,-108.7500189,40.0994419,2538.0,,,RANGELY,,,0.0,,de0357268651fc57
4,-108.7458908,40.09926,2802.0,Highway 64,,RANGELY,,,81648.0,,abce82e528541afb
5,-107.2229413,40.1963833,64.0,County Road 19,,HAMILTON,,,0.0,,a9d8e49d96a7a30e
6,-107.4732708,40.2014828,3.0,County Road 121,,MEEKER,,,0.0,,71b8e4767fcce989
7,-107.9117937,40.0396126,465.0,4Th Street,,MEEKER,,,81641.0,,710af212a0857c88
