,LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
0,-149.362137,61.4558721,26101,OLD GLENN HWY,TOWER,,,,99567,,95223943e9d286f2
1,-149.2342426,61.4413496,34709,EKLUTNA LAKE RD,,,,,99567,,a736e3cf617bca0b
2,-149.2119789,61.4305347,35851,EKLUTNA LAKE RD,,,,,99567,,7835b7a8e22af7a1
3,-149.2124913,61.4299421,35845,EKLUTNA LAKE RD,,,,,99567,,58d5678c231cfc40
4,-149.2738447,61.4539969,32551,EKLUTNA LAKE RD,,,,,99567,,0358d1b7a2b39d1f
5,-149.3216877,61.4496081,30001,EKLUTNA LAKE RD,,,,,99567,,1b739030fd618d27
6,-149.3033901,61.4468394,31085,EKLUTNA LAKE RD,,,,,99567,,f812998a285c6cc7
7,-149.3723344,61.4485499,25240,THUNDERBIRD DR,,,,,99567,,96bf0b0f92f4ca69
8,-149.3712065,61.4483364,27339,GOLDEN EAGLE CT,,,,,99567,,df8d1671abf37b62
9,-149.3724445,61.4479268,25210,THUNDERBIRD DR,,,,,99567,,632135f1d4985a54
