,LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
0,-111.5723157,35.2367222,6110,N HIGHWAY 89,,,,,86004,,ec074bdfa4581255
1,-111.6721066,35.2336899,3111,W SHANNON DR,,,,,86001,,a7d9e14ded9387d9
2,-111.655159,35.21562,1380,N ROCKRIDGE RD,,,,,86001,,6483fb4f4c44a89c
3,-111.6280716,35.2138244,2200,N GEMINI DR,,,,,86004,,6ebc625bcc95e169
4,-111.6023767,35.2130945,3101,E LEWIS DR,,,,,86004,,0de30a0ef7c77856
5,-111.5766721,35.2310618,5450,N HIGHWAY 89,,,,,86004,,ea5acbb3544d5299
6,-111.5658119,35.2310085,5400,E EMPIRE AVE,,,,,86004,,036f5ea6418565fe
7,-111.5845318,35.2201198,4355,E INDUSTRIAL DR,,,,,86004,,e8302075c0dcc5d8
8,-111.6439423,35.2185675,1937,N MARION DR,,,,,86001,,e0da4e6dbe646d1f
9,-111.6515137,35.2145755,1531,N KUTCH DR,,,,,86001,,61013eb94e5b6d33
