,LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
0,-122.2715108,37.8007952,988,FRANKLIN ST,508,OAKLAND,,,94607,2-59-30,ed2b5c3f97487dbd
1,-122.2715108,37.8007952,988,FRANKLIN ST,1301,OAKLAND,,,94607,2-59-30,264e4fd141c7296c
2,-122.2715108,37.8007952,988,FRANKLIN ST,1302,OAKLAND,,,94607,2-59-30,a2a17edf7c47595d
3,-122.2715108,37.8007952,988,FRANKLIN ST,507,OAKLAND,,,94607,2-59-30,95f1905107f315fe
4,-122.2716226,37.8006134,928,FRANKLIN ST,522,OAKLAND,,,94607,2-59-30,2f27ac0218bd57e3
5,-122.2715108,37.8007952,988,FRANKLIN ST,1107,OAKLAND,,,94607,2-59-30,b020dd1eae9c6fe7
6,-122.2715108,37.8007952,988,FRANKLIN ST,1108,OAKLAND,,,94607,2-59-30,16535d22c3dffafa
7,-122.2715108,37.8007952,988,FRANKLIN ST,521,OAKLAND,,,94607,2-59-30,633b11f311bc010d
8,-122.2730697,37.7996101,763,FRANKLIN ST,214,OAKLAND,,,94607,1-229-4,1459faf8cc9cc6bb
9,-122.2730697,37.7996101,409,8TH ST,A,OAKLAND,,,94607,1-229-4,5a70b5e19c2ae7a6
