,LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
0,-157.8331271,21.3007692,1625,CLARK ST HNL,,HONOLULU,,,,,9b3cf2c890fa7e9d
1,-157.7219415,21.2894181,6152,KAWEKIU PL,,,,,,,6fa5d983b1a4dead
2,-157.7221999,21.2888797,6141,KAWEKIU PL,,,,,,,9ec61a48b879f0f3
3,-157.7227514,21.290175,354,DALENE WAY,,,,,,,30b9cf496ad7d6e8
4,-157.724095,21.3704139,1477,HUMUWILI PL,,,,,,,9da8e82c2d0508f6
5,-157.7235098,21.3698944,1486,HUMUWILI PL,,,,,,,3c07602f227355a1
6,-157.7233461,21.3706025,1469,HUMUULA ST,,,,,,,d0b56f55c1106112
7,-157.7226393,21.3699708,1499,HUMUULA ST,,,,,,,0dcae1322c0e5a85
8,-157.7233962,21.369216,1428,ONIONI ST,,,,,,,62c880d4437ae984
9,-157.722406,21.3694978,1460,ONIONI ST,,,,,,,cf2feebb7a6f6221
