,LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
0,-116.4157843,43.4905062,251,W  MAIN ST,,KUNA,,ID,,,b14f769f3aba5870
1,-116.4168901,43.4905284,329,W  MAIN ST,,KUNA,,ID,,,922e72c7326d3d78
2,-116.4170311,43.4905295,339,W  MAIN ST,,KUNA,,ID,,,8347e0ce48740962
3,-116.4172191,43.4905318,361,W  MAIN ST,,KUNA,,ID,,,4b819763a974319a
4,-116.4174543,43.490534,371,W  MAIN ST,,KUNA,,ID,,,341bffe5fc145b49
5,-116.4175956,43.4905354,379,W  MAIN ST,,KUNA,,ID,,,7f0a1e497a7727e9
6,-116.4177955,43.4905581,397,W  MAIN ST,,KUNA,,ID,,,5beca2e084cff3bd
7,-116.4166965,43.4903001,271,N AVE B,,KUNA,,ID,,,a74481be0d0ff52d
8,-116.4204627,43.4905802,587,W  MAIN ST,,KUNA,,ID,,,7ed833ecc51ca021
9,-116.4185306,43.490846,444,W  MAIN ST,,KUNA,,ID,,,be95e205b2d6484f
