,LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
0,-106.6254563,45.8821086,303,WILLOW AVE,,COLSTRIP,,MT,59323,,122b47be480b8e22
1,-105.8217134,46.4086812,4,N HAYNES AVE,,MILES CITY,,MT,59301,,9c7ed5173606129c
2,-111.8934502,48.5016691,50,CROSSROADS DR,,SHELBY,,MT,59474,,797f7a63ced8c4a6
3,-112.9540954,46.1228097,800,S OAK ST,,ANACONDA,,MT,59711,,dc6c3a9f116269fd
4,-115.5541571,48.3913326,512,CALIFORNIA AVE,,LIBBY,,MT,59923,,5f91fea2c49e7904
5,-112.7777356,46.2347364,360,GALEN ST,,DEER LODGE,,MT,59722,,c48843a3f45de22d
6,-105.8209521,46.4077412,4,N HAYNES AVE,,MILES CITY,,MT,59301,,6508480e2456342d
7,-105.8214694,46.4074836,4,N HAYNES AVE,,MILES CITY,,MT,59301,,0f86a2c8bf92db6c
8,-104.5749477,48.9972487,1519,HIGHWAY 16 N,,RAYMOND,,MT,59256,,4ef9bc25be65d3a2
9,-115.0572614,48.9979797,7915,US HIGHWAY 93 N,,EUREKA,,MT,59917,,e5e04d0185bbfeba
