,LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
0,-108.0511124,35.6393989,0,BORREGO PASS ROAD RD,,CROWNPOINT,,,,,8531d5b2220d9607
1,-106.6077836,35.3133487,6305,NE HADLEY CT NE,,RIO RANCHO,,,,,a16df3175ef94a23
2,-106.7839194,34.6849937,1412,MESA,,BELEN,,,,,ffa6b64351116d51
3,-106.6755321,34.8017138,13,MARIPOSA,,LOS LUNAS,,,,,9e41e57f4e62558a
4,-104.2343229,32.4187754,205,S MESQUITE ST,,CARLSBAD,,,,,be91067f4f042921
5,-108.216921,35.4030977,10,FRONTIER STREET ST,,THOREAU,,,,,375fd284323be113
6,-106.6529993,35.2357842,4132,SE JACKIE RD SE,,RIO RANCHO,,,,,815b66cee9707315
7,-106.6889422,35.2692384,2316,NE ESCUDO RD NE,,RIO RANCHO,,,,,907178a8777ce996
8,-106.6758691,35.2581275,3161,SE ASHKIRK LOOP SE,,RIO RANCHO,,,,,80ee3f7c09363fba
9,-106.7299403,34.6350375,1612,TOMMY ARMOUR,,BELEN,,,,,c63e6f8fe5ca43fc
