,LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
0,-119.7421519,39.2129893,2264,FERMI RD,,Carson City,,NV,,,ec7f8c1873d42b2c
1,-119.7399675,39.2112793,2509,BOHR RD,,Carson City,,NV,,,56b0058dcb9b6b10
2,-119.7500458,39.209767,5560,NEWTON RD,,Carson City,,NV,,,7c3f957907d8528e
3,-119.7398188,39.2087516,2540,KELVIN RD,,Carson City,,NV,,,3cc9c17d47ee5213
4,-119.7493572,39.2079204,5,TESLA CI,,Carson City,,NV,,,dc0f2a9eabdb7548
5,-119.8138139,39.1991273,4150,LEVI GULCH,,Carson City,,NV,,,961f05384ecb0a42
6,-119.765155,39.1989675,290,ARROWHEAD DR,,Carson City,,NV,,,0560e6784de35193
7,-119.7352935,39.1942692,2600,COLLEGE PY H-35,,Carson City,,NV,,,3b10d25e08e3f6a0
8,-119.8519231,39.1893225,0,SEC 04 15/19 W2 W2 SE4,,Carson City,,NV,,,fd007881abeba599
9,-119.7685834,39.1913024,24,CASTLE WY,,Carson City,,NV,,,5a07a628ea243dd7
