,LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
0,-117.7994134,44.8177519,42980,LINDLEY RD,,COUNTY,,,,,81c34d635d19037c
1,-118.0595473,45.0036407,49850,MILLER RD,,COUNTY,,,,,114efe0ff5eb4ef8
2,-118.0517292,45.0030014,49737,MILLER RD,,COUNTY,,,,,f81ee3b494b3b291
3,-118.0366766,45.0018375,49117,ANTHONY LAKE HWY,,COUNTY,,,,,548914ab2102c1f2
4,-118.031517,45.0015324,48991,ANTHONY LAKE HWY,,COUNTY,,,,,c7bc30069d2cb36f
5,-118.0263682,45.0008421,48819,ANTHONY LAKE HWY,,COUNTY,,,,,63328412652de5c9
6,-118.0594505,44.9956224,64976,N POWDER RIVER LN,,COUNTY,,,,,7e21d72d94e0af6d
7,-118.0642981,44.998908,50126,ANTHONY LAKE HWY,,COUNTY,,,,,a2fc575520e389d9
8,-118.0740107,44.9964686,50416,ANTHONY LAKE HWY,,COUNTY,,,,,b3aedc6bb361bf41
9,-118.079771,44.9932567,50612,ANTHONY LAKE HWY,,COUNTY,,,,,1f8f9bee167a6683
