,LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
0,-122.3431497,48.9211034,104,W 1ST ST,,Everson,,,98247,68067-104,099481794ac3dde8
1,-122.3432163,48.9222036,109,W 3RD ST,,Everson,,,98247,68068-109,54612c811cb65927
2,-122.356505,48.9072603,402,ARROWHEAD LN,,Everson,,,98247,68003-402,bbec16441496508e
3,-122.3383379,48.9192754,108,BLAIR DR,,Everson,,,98247,68008-108,e5ed7dabafdf1186
4,-122.338211,48.918561,112,BLAIR DR,,Everson,,,98247,68008-112,47da212d3253bb8c
5,-122.3472273,48.9198826,106,EVERSON RD,,Everson,,,98247,68027-106,7716e5a5ef5be951
6,-122.3477644,48.919581,110,EVERSON RD,,Everson,,,98247,68027-110,5f9d72e1f3c46d40
7,-122.3524607,48.9166992,310,EVERSON RD,,Everson,,,98247,68027-310,090ababe109a881a
8,-122.3537056,48.9138305,503,EVERSON RD,,Everson,,,98247,68027-503,547c9b2b26b808d8
9,-122.3544902,48.9108828,803,EVERSON RD,,Everson,,,98247,68027-803,3d4318611583e099
